City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
balgazyn,51.0,95.2,4.7300000000000395,88,71,0.65,RU,1612736882
albany,42.6001,-73.9662,28.13000000000004,63,100,1.79,US,1612736798
barabai,-2.5833,115.3833,73.13000000000004,94,100,0.57,ID,1612736885
ashington,50.9331,-0.3909,29.930000000000042,83,22,2.24,GB,1612736886
dovers,12.8833,-61.1833,78.53000000000004,78,20,4.63,VC,1612736888
georgetown,5.4112,100.3354,80.33000000000004,83,20,2.67,MY,1612736874
zabaykalsk,49.6333,117.3167,-13.26999999999996,82,0,1.22,RU,1612736890
bambous virieux,-20.3428,57.7575,80.33000000000004,74,20,3.6,MU,1612736564
kodiak,57.79,-152.4072,35.33000000000004,48,1,2.18,US,1612736892
vaini,-21.2,-175.2,78.53000000000004,94,75,6.69,TO,1612736858
longyearbyen,78.2186,15.6401,15.53000000000004,48,20,7.2,SJ,1612736894
northam,51.0333,-4.2167,33.530000000000044,73,25,6.26,GB,1612736896
vangaindrano,-23.35,47.6,76.73000000000005,91,79,2.9,MG,1612736897
mataura,-46.1927,168.8643,67.73000000000005,50,99,1.29,NZ,1612736681
chokurdakh,70.6333,147.9167,-18.66999999999996,88,98,3.63,RU,1612736649
yuzhno-kurilsk,44.0306,145.8556,11.930000000000042,87,8,3.52,RU,1612736901
nouakchott,18.0858,-15.9785,65.93000000000004,27,0,3.6,MR,1612736648
codrington,-38.2667,141.9667,56.93000000000004,68,100,5.23,AU,1612736903
shestakovo,56.4915,103.96,15.53000000000004,93,97,3.02,RU,1612736904
kaitong,44.8135,123.15,-7.869999999999962,86,0,1.12,CN,1612736905
busselton,-33.65,115.3333,62.33000000000004,99,84,0.45,AU,1612736906
punta arenas,-53.15,-70.9167,71.33000000000004,24,0,6.17,CL,1612736887
mecca,21.4267,39.8261,71.33000000000004,25,0,6.34,SA,1612736678
narsaq,60.9167,-46.05,37.13000000000004,28,20,19.03,GL,1612736900
roros,62.5747,11.3842,1.1300000000000416,85,90,1.03,NO,1612736911
lebu,-37.6167,-73.65,60.530000000000044,83,10,2.1,CL,1612736747
castro,-24.7911,-50.0119,62.33000000000004,75,0,1.38,BR,1612736897
rikitea,-23.1203,-134.9692,76.73000000000005,72,97,5.87,PF,1612736866
avarua,-21.2078,-159.775,83.93000000000004,74,20,6.17,CK,1612736915
hermanus,-34.4187,19.2345,62.33000000000004,82,3,1.61,ZA,1612736771
sioux lookout,50.1001,-91.917,-13.26999999999996,53,1,5.14,CA,1612736917
isangel,-19.55,169.2667,80.33000000000004,68,11,2.27,VU,1612736898
labrea,-7.2586,-64.7981,82.13000000000004,82,79,0.44,BR,1612736919
broome,42.2506,-75.833,24.53000000000004,79,90,6.17,US,1612736921
ribeira grande,38.5167,-28.7,58.73000000000004,77,40,5.14,PT,1612736788
bandarbeyla,9.4942,50.8122,74.93000000000004,80,30,7.9,SO,1612736847
hofn,64.2539,-15.2082,35.33000000000004,90,100,7.76,IS,1612736924
ilulissat,69.2167,-51.1,20.930000000000042,42,0,7.2,GL,1612736925
port alfred,-33.5906,26.891,65.93000000000004,96,100,4.33,ZA,1612736926
barrow,71.2906,-156.7887,-25.869999999999962,68,1,4.63,US,1612736927
hobart,-42.8794,147.3294,58.73000000000004,55,40,8.23,AU,1612736803
cape town,-33.9258,18.4232,65.93000000000004,63,0,7.72,ZA,1612736832
butaritari,3.0707,172.7902,80.33000000000004,80,93,8.56,KI,1612736930
mangrol,21.1167,70.1167,67.73000000000005,45,0,3.51,IN,1612736932
ust-maya,60.4167,134.5333,-33.069999999999965,82,98,1.23,RU,1612736933
yellowknife,62.456,-114.3525,-29.469999999999956,61,20,3.09,CA,1612736934
tomatlan,19.9333,-105.25,80.33000000000004,57,1,3.91,MX,1612736935
tuktoyaktuk,69.4541,-133.0374,-27.66999999999996,68,75,8.23,CA,1612736938
hasaki,35.7333,140.8333,35.33000000000004,75,75,2.06,JP,1612736939
camacupa,-12.0167,17.4833,64.13000000000004,94,100,1.13,AO,1612736940
karratha,-20.7377,116.8463,76.73000000000005,73,6,3.85,AU,1612736943
pangkalanbuun,-2.6833,111.6167,73.13000000000004,98,100,0.96,ID,1612736944
kruisfontein,-34.0033,24.7314,65.93000000000004,90,98,0.45,ZA,1612736945
vila franca do campo,37.7167,-25.4333,56.93000000000004,77,20,3.09,PT,1612736946
nenjiang,49.1833,125.2167,-16.869999999999962,85,0,1.48,CN,1612736947
labuhan,-6.8844,112.2051,76.73000000000005,85,100,5.09,ID,1612736948
upernavik,72.7868,-56.1549,17.33000000000004,79,2,1.45,GL,1612736873
kapaa,22.0752,-159.319,74.93000000000004,56,1,2.57,US,1612736950
chuy,-33.6971,-53.4616,67.73000000000005,75,56,4.66,UY,1612736953
mar del plata,-38.0023,-57.5575,60.530000000000044,88,90,6.17,AR,1612736951
sisimiut,66.9395,-53.6735,22.73000000000004,79,8,6.21,GL,1612736955
new norfolk,-42.7826,147.0587,56.93000000000004,66,52,0.89,AU,1612736956
thinadhoo,0.5333,72.9333,80.33000000000004,71,33,4.03,MV,1612736957
panlaitan,12.1191,119.8486,78.53000000000004,75,98,1.65,PH,1612736958
aklavik,68.2191,-135.0107,-22.26999999999996,76,100,4.12,CA,1612736959
ushuaia,-54.8,-68.3,60.530000000000044,59,0,2.06,AR,1612736862
riyadh,24.6877,46.7219,58.73000000000004,67,0,4.12,SA,1612736704
arraial do cabo,-22.9661,-42.0278,73.13000000000004,88,75,3.09,BR,1612736963
sume,-7.6717,-36.88,82.13000000000004,46,99,8.28,BR,1612736964
atyrau,47.1167,51.8833,8.330000000000041,72,0,5.0,KZ,1612736821
lalibela,12.0333,39.0333,47.93000000000004,57,41,1.81,ET,1612736966
hithadhoo,-0.6,73.0833,80.33000000000004,70,56,2.97,MV,1612736855
bluff,-46.6,168.3333,58.73000000000004,71,98,2.0,NZ,1612736567
shostka,51.863,33.4698,2.9300000000000423,93,81,1.71,UA,1612736969
matara,5.9485,80.5353,73.13000000000004,90,17,2.32,LK,1612736935
khatanga,71.9667,102.5,-31.26999999999996,79,0,4.76,RU,1612736974
harper,4.375,-7.7169,78.53000000000004,87,95,3.35,LR,1612736975
acapulco,16.8634,-99.8901,83.93000000000004,70,1,2.57,MX,1612736830
alofi,-19.0595,-169.9187,85.73000000000005,70,60,5.66,NU,1612736977
dikson,73.5069,80.5464,-33.069999999999965,85,90,7.47,RU,1612736978
sliven,42.6858,26.3292,46.13000000000004,100,90,2.06,BG,1612736979
talnakh,69.4865,88.3972,-20.469999999999956,75,19,1.16,RU,1612736980
dhanera,24.5167,72.0167,58.73000000000004,32,0,2.19,IN,1612736982
sydney,-33.8679,151.2073,69.53000000000004,78,75,6.69,AU,1612736499
santa clara,22.4,-79.9667,83.93000000000004,65,75,3.6,CU,1612736822
yaransk,57.3033,47.8861,-20.469999999999956,86,86,4.82,RU,1612736969
oktyabrskoye,43.0645,44.7417,26.33000000000004,100,95,5.0,RU,1612736987
adrar,20.5022,-10.0711,58.73000000000004,33,0,4.44,MR,1612736988
victor harbor,-35.5667,138.6167,58.73000000000004,89,10,1.34,AU,1612736989
laizhou,37.1717,119.9214,24.53000000000004,88,0,1.31,CN,1612736990
lompoc,34.6391,-120.4579,64.13000000000004,72,1,6.69,US,1612736980
lingyuan,41.24,119.4011,8.330000000000041,85,0,1.67,CN,1612736992
nioro,13.35,-15.75,76.73000000000005,17,96,3.72,GM,1612736993
kant,27.8,79.8,49.73000000000004,78,0,1.95,IN,1612736995
tiksi,71.6872,128.8694,-29.469999999999956,86,37,2.43,RU,1612736996
pangnirtung,66.1451,-65.7125,33.530000000000044,44,20,7.2,CA,1612736997
faanui,-16.4833,-151.75,80.33000000000004,74,1,5.74,PF,1612736998
somanda,-3.3667,33.95,69.53000000000004,57,95,1.96,TZ,1612736999
esperance,-33.8667,121.9,62.33000000000004,88,19,3.6,AU,1612736854
jadu,31.953,12.0261,56.93000000000004,36,8,7.67,LY,1612737002
rocha,-34.4833,-54.3333,62.33000000000004,88,13,2.73,UY,1612737004
puerto ayora,-0.7393,-90.3518,82.13000000000004,74,75,6.17,EC,1612736705
nouadhibou,20.931,-17.0347,64.13000000000004,72,0,8.75,MR,1612737006
podosinovets,60.2776,47.0659,-20.469999999999956,86,100,4.3,RU,1612737008
netanya,32.3329,34.8599,56.93000000000004,94,0,1.03,IL,1612737010
mayo,38.8876,-76.5119,40.73000000000004,93,75,2.57,US,1612736965
batemans bay,-35.7167,150.1833,64.13000000000004,72,26,0.45,AU,1612737012
port elizabeth,-33.918,25.5701,64.13000000000004,94,75,4.63,ZA,1612737013
alice springs,-23.7,133.8833,78.53000000000004,29,52,5.14,AU,1612737014
geraldton,-28.7667,114.6,67.73000000000005,83,75,4.12,AU,1612736972
jamestown,42.097,-79.2353,13.73000000000004,79,90,5.14,US,1612737017
acari,-15.4311,-74.6158,74.93000000000004,65,62,2.73,PE,1612737019
tasiilaq,65.6145,-37.6368,26.33000000000004,46,0,8.23,GL,1612737020
sao jose da coroa grande,-8.8978,-35.1478,78.53000000000004,79,87,4.21,BR,1612737021
husavik,66.0449,-17.3389,29.930000000000042,86,90,3.12,IS,1612737022
bredasdorp,-34.5322,20.0403,60.530000000000044,77,5,2.06,ZA,1612736799
saldanha,-33.0117,17.9442,62.33000000000004,72,0,7.72,ZA,1612736992
qaanaaq,77.484,-69.3632,11.930000000000042,85,73,3.34,GL,1612736969
bathsheba,13.2167,-59.5167,78.53000000000004,65,40,7.72,BB,1612737028
severo-kurilsk,50.6789,156.125,19.13000000000004,90,29,5.98,RU,1612737030
matou,29.8315,115.5774,49.73000000000004,87,100,3.44,CN,1612737031
baiyin,36.5583,104.2081,19.13000000000004,32,0,1.0,CN,1612737032
moree,-29.4667,149.85,78.53000000000004,53,0,6.69,AU,1612737033
strzelce opolskie,50.5107,18.3006,17.33000000000004,10,100,3.58,PL,1612737035
la ronge,55.1001,-105.2842,-25.869999999999962,56,1,4.63,CA,1612737036
suhaia,43.7333,25.25,35.33000000000004,94,67,0.89,RO,1612737037
ukiah,39.1502,-123.2078,69.53000000000004,21,1,1.12,US,1612737001
kapuskasing,49.4169,-82.4331,-4.2699999999999605,65,100,4.12,CA,1612737040
richards bay,-28.783,32.0377,74.93000000000004,91,90,1.99,ZA,1612736792
sao felix do xingu,-6.6447,-51.995,74.93000000000004,90,65,1.53,BR,1612736783
henties bay,-22.116,14.2845,64.13000000000004,87,98,2.24,NA,1612737043
zhigansk,66.7697,123.3711,-33.069999999999965,77,8,1.57,RU,1612737044
airai,-8.9266,125.4092,62.33000000000004,100,100,1.02,TL,1612737042
omboue,-1.5746,9.2618,78.53000000000004,85,100,1.76,GA,1612737046
iqaluit,63.7506,-68.5145,29.930000000000042,74,90,6.69,CA,1612737012
yarada,17.65,83.2667,73.13000000000004,83,43,1.03,IN,1612737048
jaspur,29.2833,78.8167,49.73000000000004,63,0,0.65,IN,1612737050
cabra,37.4725,-4.4421,47.93000000000004,81,98,0.45,ES,1612737051
mizque,-17.941,-65.3402,69.53000000000004,61,92,4.66,BO,1612736980
nancha,47.1333,129.2667,-13.26999999999996,85,0,1.69,CN,1612737053
mackenzie,55.2999,-123.1698,-2.4699999999999562,65,1,4.12,CA,1612736947
barreirinha,-2.7933,-57.07,80.33000000000004,73,61,1.02,BR,1612737055
san patricio,28.017,-97.5169,71.33000000000004,43,75,8.23,US,1612737056
aykhal,66.0,111.5,-25.869999999999962,84,96,2.39,RU,1612736984
ichalkaranji,16.7,74.4667,65.93000000000004,36,74,3.61,IN,1612737058
gamba,-2.65,10.0,76.73000000000005,85,100,0.7,GA,1612737060
carnarvon,-24.8667,113.6333,74.93000000000004,100,40,4.12,AU,1612737061
aktau,43.65,51.2,29.930000000000042,74,40,5.0,KZ,1612737062
yenagoa,4.9247,6.2642,80.33000000000004,84,100,2.69,NG,1612737063
kitimat,54.0524,-128.6534,29.930000000000042,62,98,2.4,CA,1612736902
cidreira,-30.1811,-50.2056,69.53000000000004,71,0,3.71,BR,1612737066
magnolia,33.2671,-93.2393,44.33000000000004,75,90,3.6,US,1612737067
hoquiam,46.9809,-123.8893,42.530000000000044,81,90,5.14,US,1612737068
cherskiy,68.75,161.3,-4.2699999999999605,67,6,0.89,RU,1612736600
saint george,37.1041,-113.5841,64.13000000000004,18,1,1.57,US,1612737061
yulara,-25.2406,130.9889,74.93000000000004,33,17,4.12,AU,1612737008
saint-philippe,-21.3585,55.7679,80.33000000000004,69,90,1.54,RE,1612737072
mahebourg,-20.4081,57.7,80.33000000000004,74,20,3.6,MU,1612737073
ventspils,57.3894,21.5606,15.53000000000004,92,0,0.51,LV,1612737074
mizan teferi,6.9833,35.5833,64.13000000000004,33,11,0.75,ET,1612737075
dunedin,-45.8742,170.5036,60.530000000000044,88,89,0.45,NZ,1612736788
ponazyrevo,58.3578,46.3142,-22.26999999999996,86,91,3.53,RU,1612737078
obera,-27.4871,-55.1199,69.53000000000004,74,0,1.62,AR,1612737075
portland,45.5234,-122.6762,47.93000000000004,57,75,5.66,US,1612736860
shenjiamen,29.9576,122.298,47.93000000000004,84,100,8.38,CN,1612736994
vostok,46.4856,135.8833,-15.069999999999958,90,100,1.84,RU,1612737082
pital,2.2665,-75.8044,78.53000000000004,63,78,2.06,CO,1612737083
tilichiki,60.4667,166.1,11.930000000000042,96,100,6.48,RU,1612737084
woodward,36.4337,-99.3904,29.930000000000042,93,90,4.63,US,1612737085
clyde river,70.4692,-68.5914,-2.4699999999999562,84,75,5.14,CA,1612736975
beringovskiy,63.05,179.3167,1.1300000000000416,90,100,6.96,RU,1612736986
conceicao da barra,-18.5933,-39.7322,74.93000000000004,91,100,2.46,BR,1612737089
nikolskoye,59.7035,30.7861,15.53000000000004,86,40,6.0,RU,1612736869
camana,-16.6228,-72.7111,73.13000000000004,75,88,1.88,PE,1612736927
senno,59.5336,33.9167,6.53000000000004,85,100,0.97,RU,1612737094
hambantota,6.1241,81.1185,74.93000000000004,100,0,3.09,LK,1612737021
sao filipe,14.8961,-24.4956,67.73000000000005,73,100,5.84,CV,1612737038
cabo san lucas,22.8909,-109.9124,73.13000000000004,53,20,5.14,MX,1612736866
amahai,-3.3333,128.9167,83.93000000000004,89,94,1.31,ID,1612737101
ubala,4.7478,-72.5369,87.53000000000004,44,97,2.71,CO,1612737102
awbari,26.5921,12.7805,65.93000000000004,26,100,5.56,LY,1612737103
ust-ishim,57.6935,71.1665,1.1300000000000416,91,100,5.29,RU,1612737104
acarau,-2.8856,-40.12,80.33000000000004,79,0,6.59,BR,1612737106
pacifica,37.6138,-122.4869,60.530000000000044,63,75,3.33,US,1612736847
faya,18.3851,42.4509,55.13000000000004,47,0,4.12,SA,1612736943
kloulklubed,7.0419,134.2556,76.73000000000005,94,90,3.09,PW,1612737111
blairmore,49.6,-114.4353,2.9300000000000423,85,100,3.09,CA,1612737112
hilo,19.7297,-155.09,82.13000000000004,42,1,2.06,US,1612736998
souillac,-20.5167,57.5167,80.33000000000004,74,20,3.6,MU,1612737114
atuona,-9.8,-139.0333,78.53000000000004,75,24,9.01,PF,1612737115
tabou,4.423,-7.3528,78.53000000000004,89,68,3.07,CI,1612737116
sola,-13.8833,167.55,80.33000000000004,73,100,2.24,VU,1612737117
ladybrand,-29.1945,27.4574,64.13000000000004,64,11,2.6,ZA,1612736909
constitucion,-35.3333,-72.4167,62.33000000000004,73,2,3.48,CL,1612736856
ust-ilimsk,58.0006,102.6619,20.930000000000042,95,99,4.08,RU,1612737122
benghazi,32.1167,20.0667,65.93000000000004,41,100,12.37,LY,1612737123
haines junction,60.7522,-137.5108,-9.669999999999959,49,15,1.03,CA,1612737124
bien hoa,10.95,106.8167,76.73000000000005,88,40,1.54,VN,1612737020
mossendjo,-2.9506,12.7261,69.53000000000004,98,85,0.99,CG,1612737126
xining,36.6167,101.7667,20.930000000000042,55,30,0.81,CN,1612737127
luderitz,-26.6481,15.1594,67.73000000000005,56,0,13.16,NA,1612736865
moyale,3.5167,39.0584,73.13000000000004,43,52,3.87,KE,1612737130
sveti nikole,41.8696,21.9527,38.93000000000004,100,0,2.06,MK,1612737131
bayir,37.2687,28.2167,60.530000000000044,63,75,8.75,TR,1612737132
torbay,47.6666,-52.7314,29.930000000000042,69,20,12.86,CA,1612737133
camacha,33.0833,-16.3333,60.530000000000044,88,75,8.23,PT,1612737134
snezhnogorsk,69.1933,33.2531,17.33000000000004,93,40,4.0,RU,1612737135
guerrero negro,27.9769,-114.0611,74.93000000000004,22,0,5.7,MX,1612736899
teya,60.3778,92.6267,15.53000000000004,92,72,5.19,RU,1612737137
bethel,41.3712,-73.414,29.930000000000042,86,90,2.06,US,1612737138
bubaque,11.2833,-15.8333,76.73000000000005,67,10,4.75,GW,1612736848
nanortalik,60.1432,-45.2371,29.930000000000042,88,95,7.01,GL,1612737003
avera,33.194,-82.5271,53.33000000000004,62,40,2.57,US,1612737142
kavieng,-2.5744,150.7967,83.93000000000004,73,51,4.15,PG,1612737050
fare,-16.7,-151.0167,80.33000000000004,75,57,5.77,PF,1612737144
kautokeino,69.0125,23.0412,6.53000000000004,91,75,2.76,NO,1612736948
aranda de duero,41.6704,-3.6892,42.530000000000044,87,100,5.12,ES,1612737146
tarko-sale,64.9225,77.785,13.73000000000004,96,99,9.16,RU,1612737147
ostrovnoy,68.0531,39.5131,2.9300000000000423,92,76,7.03,RU,1612736857
east london,-33.0153,27.9116,71.33000000000004,85,87,4.16,ZA,1612737150
kogon,39.7228,64.5517,42.530000000000044,100,86,4.2,UZ,1612737151
saint-augustin,51.226,-58.6502,20.930000000000042,92,8,6.96,CA,1612737152
saskylakh,71.9167,114.0833,-38.469999999999956,79,31,5.79,RU,1612737153
pecos,31.4229,-103.4932,78.53000000000004,7,1,8.23,US,1612737154
katsuura,35.1333,140.3,44.33000000000004,49,75,5.66,JP,1612736938
aranos,-24.1333,19.1167,74.93000000000004,60,6,5.62,NA,1612737156
itaituba,-4.2761,-55.9836,83.93000000000004,74,20,2.57,BR,1612737157
point fortin,10.1833,-61.6833,78.53000000000004,82,61,0.45,TT,1612737158
lewistown,40.5992,-77.5714,31.73000000000004,46,1,2.57,US,1612737159
flagstaff,35.1981,-111.6513,51.530000000000044,16,1,3.09,US,1612736863
matoury,4.8483,-52.3317,80.33000000000004,78,75,5.14,GF,1612737007
ixtapa,20.7,-105.2,74.93000000000004,69,1,6.17,MX,1612737019
san borja,-14.8167,-66.85,80.33000000000004,79,74,1.38,BO,1612737164
kibala,9.1104,18.3463,73.13000000000004,20,0,2.01,TD,1612736986
aripuana,-9.1667,-60.6333,74.93000000000004,91,98,0.62,BR,1612736964
sitka,57.0531,-135.33,35.33000000000004,30,40,3.09,US,1612737167
arlit,18.7369,7.3853,65.93000000000004,20,100,0.81,NE,1612737168
lookan,5.037,120.1027,78.53000000000004,82,100,2.81,PH,1612737169
eyl,7.9803,49.8164,73.13000000000004,80,1,7.16,SO,1612737170
bonavista,48.6499,-53.1147,29.930000000000042,68,0,5.66,CA,1612737172
huaraz,-9.5333,-77.5333,56.93000000000004,60,99,2.38,PE,1612737173
turhal,40.3875,36.0811,46.13000000000004,57,0,2.06,TR,1612737175
tazmalt,36.3868,4.3989,47.93000000000004,75,65,2.8,DZ,1612737176
vila velha,-20.3297,-40.2925,69.53000000000004,94,90,1.54,BR,1612737177
kaitangata,-46.2817,169.8464,64.13000000000004,76,99,3.58,NZ,1612737178
pala,9.3642,14.9046,73.13000000000004,19,67,3.03,TD,1612737179
pevek,69.7008,170.3133,-6.069999999999958,84,0,1.37,RU,1612737180
xudat,41.631,48.681,37.13000000000004,83,100,4.13,AZ,1612737182
mattru,7.6244,-11.8332,76.73000000000005,87,29,0.91,SL,1612737183
kirakira,-10.4544,161.9205,83.93000000000004,67,15,3.41,SB,1612737184
saint-michel-des-saints,46.6834,-73.9159,13.73000000000004,96,96,1.59,CA,1612737030
phangnga,8.4509,98.5298,74.93000000000004,88,20,1.54,TH,1612737186
deputatskiy,69.3,139.9,-29.469999999999956,85,17,0.56,RU,1612737187
morayfield,-27.1167,152.95,80.33000000000004,74,84,1.34,AU,1612737188
moose factory,51.2585,-80.6094,-9.669999999999959,70,90,4.12,CA,1612737190
kyaikkami,16.08,97.5675,74.93000000000004,72,45,2.74,MM,1612737191
ugoofaaru,5.6667,73.0,80.33000000000004,72,10,4.08,MV,1612736986
kashi,39.4547,75.9797,35.33000000000004,48,20,3.0,CN,1612737193
port lincoln,-34.7333,135.8667,60.530000000000044,76,69,7.36,AU,1612737129
waipawa,-41.4122,175.5153,69.53000000000004,64,75,9.77,NZ,1612737195
nome,64.5011,-165.4064,-2.4699999999999562,84,1,1.54,US,1612737067
kysyl-syr,63.8986,122.7617,-27.66999999999996,84,85,4.53,RU,1612737197
pedernales,18.0384,-71.744,78.53000000000004,65,33,2.12,DO,1612737198
santa maria,-29.6842,-53.8069,82.13000000000004,61,20,2.57,BR,1612737200
petawawa,45.9001,-77.3328,19.13000000000004,49,40,4.12,CA,1612737201
nakonde,-9.3421,32.745,60.530000000000044,98,100,0.41,ZM,1612737202
ritchie,-29.038,24.6028,73.13000000000004,60,14,4.12,ZA,1612737203
denpasar,-8.65,115.2167,78.53000000000004,94,20,0.51,ID,1612737204
srednekolymsk,67.45,153.6833,-15.069999999999958,83,75,1.07,RU,1612737206
okhtyrka,50.3104,34.8988,6.53000000000004,92,99,1.99,UA,1612737207
morondava,-20.2833,44.2833,78.53000000000004,80,100,3.77,MG,1612737208
westport,41.1415,-73.3579,31.73000000000004,86,90,3.09,US,1612736947
chara,56.9064,118.2631,-6.069999999999958,82,100,0.68,RU,1612737128
college,64.8569,-147.8028,-7.869999999999962,70,20,2.06,US,1612736977
surgut,61.25,73.4167,4.7300000000000395,72,74,6.0,RU,1612737214
buraydah,26.326,43.975,51.530000000000044,100,40,1.54,SA,1612737216
puntarenas,9.9763,-84.8384,83.93000000000004,45,0,5.66,CR,1612736933
maues,-3.3836,-57.7186,76.73000000000005,88,93,0.37,BR,1612737220
aketi,2.7388,23.7833,67.73000000000005,41,100,0.11,CD,1612737221
ketchikan,55.3422,-131.6461,31.73000000000004,64,1,5.14,US,1612737222
tefe,-3.3542,-64.7114,82.13000000000004,83,20,1.54,BR,1612737223
fereydun kenar,36.6864,52.5225,53.33000000000004,76,91,0.67,IR,1612737224
port macquarie,-31.4333,152.9167,74.93000000000004,68,100,0.89,AU,1612737225
pochutla,15.7432,-96.4661,83.93000000000004,69,75,5.14,MX,1612737226
savannah bight,16.45,-85.85,83.93000000000004,79,40,5.9,HN,1612737227
